EmployeeID,SupervisorID,DepartmentCode,Password,FirstName,LastName,BankAccountNumber
10001,NULL,101,Singa@123,Aisha,Tan,1234567890
10002,10001,101,LaKopi123!,"Jia Hui",Lee,2345678901
10003,10001,102,SedapNyumyum77,Nurul,Lim,3456789012
10004,NULL,102,GulaMelaka#1,Siti,Baiduri,4567890123
10005,10002,103,Majulah*Sg123,Shan,Chong,5678901234
10006,10002,103,ShiokLah99!,"Kai Ming",Tan,6789012345
10007,10003,104,ChopeSeat_88,Rajesh,Kumar,7890123456
10008,10003,104,SiaLah#123,Siti,Jamilah,8901234567
10009,NULL,105,ShiokLah88#,"Wei Ting",Tan,9012345678
10010,NULL,105,Majulah_Sg99,Johnny,Ng,1123456789
10011,10006,106,SedapNyumyum55,Siti,Zubaidah,2345678903
10012,10006,106,KayaToast789#,"Kok Wai",Lee,3456789014
10013,10007,107,LaKopi_123,Deepa,Padukone,4567890125
10014,10007,107,ShiokLah_77,"Wei Jian",Chua,5678901235
10015,10008,108,ChopeSeat99#,Saravanan,Kumar,6789012349
10016,10008,108,GulaMelaka11#,"Xiao Mei",Goh,7890123450
10017,NULL,109,Majulah_Sg77,Rahman,Tan,8901234566
10018,NULL,109,SedapNyumyum66,"Ying Ying",Loh,9012345677
10019,10011,110,LaKopi11#,Munirah,Yasin,0123456781
10020,10011,110,SiaLah33#,Ganesan,Laksamana,1234567892
